,city,CO_concentration,CO_aqi,NO2_concentration,NO2_aqi,O3_concentration,O3_aqi,SO2_concentration,SO2_aqi,PM2.5_concentration,PM2.5_aqi,PM10_concentration,PM10_aqi,overall_aqi
83,Bristow,300.41,3,12.17,15,43.99,37,0.19,0,3.62,11,4.34,4,37
84,Nokesville,263.69,2,5.66,7,74.39,98,5.13,7,7.86,25,9.37,8,98
85,Dale City,280.38,3,9.0,11,69.38,82,4.65,6,8.44,27,10.46,9,82
86,Woodbridge,433.92,4,45.93,57,28.97,24,3.64,5,18.03,55,22.26,20,57
87,Stafford,216.96,2,0.72,0,74.39,98,0.28,0,0.5,1,0.9,0,98
88,Fredericksburg,283.72,3,6.0,7,47.21,40,0.47,0,8.7,28,9.71,8,40
89,Potomac,270.37,3,7.37,9,67.95,77,4.59,6,8.47,27,10.28,9,77
90,Ellicott City,293.73,3,10.2,12,61.51,57,3.55,5,8.35,27,10.76,9,57
91,Germantown,297.07,3,11.65,14,36.48,30,1.12,1,5.31,17,6.57,6,30
92,Waldorf,216.96,2,1.35,1,70.81,86,0.49,0,1.25,4,2.77,2,86
93,Lanham,277.04,3,6.51,8,58.65,49,1.34,1,10.5,34,12.1,11,49
94,Beltsville,300.41,3,11.82,14,60.08,53,4.35,6,8.91,28,11.12,10,53
95,Crofton,323.77,3,16.28,20,52.93,44,3.82,5,9.27,30,11.96,11,44
96,Oxon Hill,360.49,4,26.39,32,43.63,36,4.47,6,11.41,37,14.03,12,37
97,Sykesville,283.72,3,9.25,11,62.94,62,3.93,5,8.44,27,10.5,9,62
98,Olney,253.68,2,6.0,7,28.97,24,0.03,0,5.09,16,5.66,5,24
99,Georgetown,181.91,2,0.03,0,60.08,53,0.1,0,2.49,8,7.9,7,53
100,Dupont Circle,293.73,3,13.02,16,62.94,62,4.47,6,9.21,29,11.43,10,62
